Price,District,City,Town,Type,EnergyCertificate,Floor,Lift,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
55000,Coimbra,Figueira da Foz,Alqueidão,Land,NC,,FALSE,0,FALSE,,1287,,,,,,,,,,1287,,,0
289000,Setúbal,Montijo,Canha,House,D,,FALSE,2,TRUE,1986,306,306,,,,,4,,,,156,,,4
46500,Lisboa,Lourinhã,Lourinhã e Atalaia,Land,NC,,,0,,,,,,FALSE,FALSE,FALSE,,,0,,,2880,,0
203000,Porto,Vila Nova de Gaia,Vilar de Andorinho,Apartment,E,3rd Floor,TRUE,1,TRUE,1996,118,,,,,,2,,,,92,,,2
72500,Braga,Cabeceiras de Basto,"Refojos de Basto, Outeiro e Painzela",Land,NC,,,0,,,1954,,,FALSE,FALSE,FALSE,,,0,,,1954,,0
599000,Lisboa,Cascais,Carcavelos e Parede,Apartment,NC,3rd Floor,FALSE,1,TRUE,1989,151,,,,,,3,,,,151,,,2
139000,Évora,Reguengos de Monsaraz,Reguengos de Monsaraz,House,F,1st Floor,FALSE,0,FALSE,1951,147,,,,,,4,,,,147,,,1
197500,Leiria,Porto de Mós,Pedreiras,Land,NC,,,0,,,,,,FALSE,FALSE,FALSE,,,0,,,3346,,0
34000,Faro,São Brás de Alportel,São Brás de Alportel,Land,NC,,,0,,,,,,FALSE,FALSE,FALSE,,,0,,,3260,,0
39900,Braga,Celorico de Basto,"Britelo, Gémeos e Ourilhe",Store,NC,,FALSE,0,FALSE,1990,36,,,,,,0,,,,,,,0
41000,Aveiro,Oliveira de Azeméis,Ossela,Land,NC,,FALSE,0,FALSE,,3710,,,,,,,,,,,,,0
770000,Lisboa,Odivelas,Ramada e Caneças,House,NC,,FALSE,2,TRUE,,256,,,,,,4,,,,120,,,4
58000,Bragança,Bragança,Sortes,House,E,,,0,,1982,104,,,FALSE,FALSE,FALSE,,3,0,Good condition,104,57,108,1
395000,Porto,Penafiel,Penafiel,House,C,,,0,,2020,340,,,TRUE,FALSE,FALSE,,3,0,Good condition,397,397,397,4
230000,Setúbal,Montijo,Montijo e Afonsoeiro,Apartment,C,Ground Floor,TRUE,1,TRUE,2007,100,,,,,,2,,,,93,,,2
1200000,Évora,Évora,"Évora (São Mamede, Sé, São Pedro e Santo Antão)",Building,D,,,0,,1960,495,,,FALSE,FALSE,FALSE,20,,0,,495,,,0
510000,Lisboa,Mafra,Santo Isidoro,House,C,,,1,,2003,192,,27:29.5,FALSE,FALSE,FALSE,,4,,,192,400,230,3
1300000,Évora,Arraiolos,Vimieiro,Farm,F,,,1,,2002,360,,,FALSE,FALSE,FALSE,,,0,,500,1,360,0
1520000,Lisboa,Lisboa,Estrela,Apartment,A,2nd Floor,TRUE,2,TRUE,,191,,,,,,3,,,,191,,,0
82000,Leiria,Caldas da Rainha,Alvorninha,Land,NC,,,0,,,28261,,20:18.4,FALSE,FALSE,FALSE,,,,,28261,28261,28261,
288000,Lisboa,Loures,Santo António dos Cavaleiros e Frielas,Apartment,A+,2nd Floor,TRUE,0,FALSE,2022,87,91,,,,,2,,,,78,,,1
190000,Porto,Porto,Paranhos,Apartment,C,6th Floor,TRUE,0,FALSE,2000,46,49,,,,,1,,,,46,,,1
94900,Setúbal,Setúbal,São Sebastião,House,NC,,,0,,1951,38,,,FALSE,FALSE,FALSE,,1,0,,34,,,0
398000,Setúbal,Sesimbra,Quinta do Conde,House,E,,FALSE,2,TRUE,1995,315,,,,,,3,,,,136,,,3
7000,Lisboa,Loures,Lousa,Land,NC,,,0,,,5600,,26:50.7,FALSE,FALSE,FALSE,,,,,5600,5600,5600,
20000,Lisboa,Vila Franca de Xira,Vila Franca de Xira,Land,NC,,FALSE,0,FALSE,,450,,,,,,,,,,,,,
1250000,Lisboa,Oeiras,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Apartment,B-,Basement,TRUE,3,TRUE,2005,215,336,,,,,4,,,,175,,,3
7750,Faro,Albufeira,Guia,Apartment,B,Ground Floor,TRUE,1,TRUE,1989,9900,,,,,,0,,,,33,,,1
177000,Vila Real,Alijó,Vila Chã,House,E,,FALSE,2,TRUE,2005,795,247,,,,,5,,,,195,,,3
80000,Porto,Felgueiras,Revinhade,Land,NC,,,0,,,386,,14:54.2,FALSE,FALSE,FALSE,,,,,,800,,
220000,Castelo Branco,Sertã,Várzea dos Cavaleiros,House,E,,FALSE,1,TRUE,1997,263,,,,,,3,,,,263,,,3
895000,Coimbra,Coimbra,Santo António dos Olivais,House,A,,,0,,1983,222,,07:32.8,TRUE,FALSE,TRUE,10,5,4,Like new,200,202,252,4
190000,Porto,Maia,Águas Santas,Store,D,,TRUE,0,FALSE,1991,537,,,,,,,,,,537,,,4
80000,Faro,Portimão,Mexilhoeira Grande,Land,NC,,FALSE,0,FALSE,,143,,,,,,,,,,,,,0
325000,Braga,Braga,"Merelim (São Paio), Panoias e Parada de Tibães",House,A+,,FALSE,2,TRUE,,270,,,,,,4,,,,243,,,3
320000,Braga,Vila Nova de Famalicão,Requião,House,E,,FALSE,1,TRUE,1998,583,,,,,,4,,,,394,,,2
230000,Setúbal,Barreiro,"Alto do Seixalinho, Santo André e Verderena",Apartment,B-,3rd Floor,TRUE,0,FALSE,2008,108,102,,,,,2,,,,102,,,1
650000,Porto,Paredes,Paredes,Land,NC,,,1,,,,,,FALSE,FALSE,FALSE,,0,0,Good condition,,1,,0
120000,Lisboa,Cadaval,Vilar,House,D,,FALSE,0,FALSE,1951,416,94,,,,,5,,,,71,,,1
139900,Setúbal,Barreiro,Barreiro e Lavradio,Apartment,C,2nd Floor,FALSE,0,FALSE,1970,60,67,,,,,2,,,,52,,,1
450000,Porto,Marco de Canaveses,Marco,House,E,,FALSE,1,TRUE,2005,5000,232,,,,,3,,,,110,,,3
430000,Porto,Vila Nova de Gaia,Grijó e Sermonde,House,A,,FALSE,2,TRUE,,171,,,,,,3,,,,171,,,4
189000,Viana do Castelo,Viana do Castelo,Darque,Apartment,A,Ground Floor,TRUE,1,TRUE,,72,72,,,,,2,,,,72,,,1
27500,Lisboa,Alenquer,Ventosa,Land,NC,,FALSE,0,FALSE,,320,204,,,,,,,,,,,,0
70000,Setúbal,Almada,Charneca de Caparica e Sobreda,Land,NC,,,0,,,,,53:12.4,FALSE,FALSE,TRUE,,,0,,140,187,,0
175000,Aveiro,Oliveira de Azeméis,São Roque,House,E,,,0,,1978,195,,,TRUE,FALSE,FALSE,5,3,1,Reasonable,195,346,224,2
1290000,Lisboa,Lisboa,Campolide,Apartment,A+,2nd Floor,TRUE,2,TRUE,2023,0,230,,,,,3,,,,152,,,4
28000,Viana do Castelo,Ponte da Barca,"Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães",Land,NC,,FALSE,0,FALSE,,1400,,,,,,0,,,,1400,,,0
8000,Castelo Branco,Sertã,Pedrógão Pequeno,Land,NC,,,0,,,8400,,38:55.5,FALSE,FALSE,FALSE,,,0,,,8400,,0
390000,Lisboa,Cascais,Alcabideche,Apartment,E,,,0,,1984,88,,,FALSE,FALSE,FALSE,4,3,0,Good condition,80,,112,2
60000,Portalegre,Portalegre,Ribeira de Nisa e Carreiras,Farm,F,,FALSE,3,TRUE,1950,1836,176,,,,,3,,,,48,,,2
165000,Lisboa,Vila Franca de Xira,Alverca do Ribatejo e Sobralinho,Apartment,E,3rd Floor,FALSE,0,FALSE,1998,78,,,,,,3,,,,96,,,2
115000,Vila Real,Chaves,Calvão e Soutelinho da Raia,House,NC,,FALSE,0,FALSE,1937,62,79,,,,,1,,,,79,,,2
94000,Coimbra,Figueira da Foz,Buarcos e São Julião,Store,B,Ground Floor,TRUE,2,TRUE,2014,78,104,,,,,0,,,,,,,1
232000,Lisboa,Lisboa,Arroios,Apartment,E,Basement Level,FALSE,0,FALSE,1926,0,0,,,,,1,,,,58,,,1
155000,Évora,Reguengos de Monsaraz,Reguengos de Monsaraz,House,F,,,0,,1955,65,,,FALSE,FALSE,FALSE,,2,0,Like new,65,73,,1
80000,Leiria,Alcobaça,São Martinho do Porto,Land,NC,,,0,,,,,41:54.9,FALSE,FALSE,FALSE,,,,,,5900,,
